NFR19,SNAP,Source,Activity,Profile_ID
1A3dii,8,"Motorboats / workboats (e.g. canal boats, dredgers, service boats, tourist boats, river boats)",Gas oil,SHIP_MIS
1A3dii,8,"Motorboats / workboats (e.g. canal boats, dredgers, service boats, tourist boats, river boats)",Petrol,SHIP_MIS
1A3dii,8,Personal watercraft e.g. jet ski,DERV,SHIP_REC
1A3dii,8,Personal watercraft e.g. jet ski,Gas oil,SHIP_REC
1A3dii,8,Personal watercraft e.g. jet ski,Petrol,SHIP_REC
1A3dii,8,Sailing boats with auxiliary engines,DERV,SHIP_REC
1A3dii,8,Sailing boats with auxiliary engines,Gas oil,SHIP_REC
1A3dii,8,Sailing boats with auxiliary engines,Petrol,SHIP_REC
1A3dii,8,Shipping - coastal,Fuel oil,SHIP_CTP
1A3dii,8,Shipping - coastal,Gas oil,SHIP_CTP
